cell_id,H3tot,H3met,CK5,Fibronectin,CK19,CK8/18,TWIST1,CD68,CK14,SMA,Vimentin,Myc,HER2,CD3,H3phospho,ERK1/2,SLUG,ER,PR,p53,CD44,EpCAM,CD45,GATA3,CD20,betaCatenin,CAIX,Ecadherin,Ki67,EGFR,S6,Sox9,vWf_CD31,mTOR,CK7,panCK,cPARP_cCasp3,DNA1,DNA2
1,11.435987,1.2802209,0.09280519,0.44390908,1.1511298,1.6198051,0.099519484,0.07483117,0.050493505,0.20384417,2.7807798,0.20909092,0.77192205,0.06048052,0.26877922,0.16618182,0.76410395,0.089935064,0.55805194,0.03312987,2.3561301,0.15405194,0.012987013,0.72654545,0.012987013,0.10789611,0.4086883,4.1527534,0.16102597,0.15655844,2.3004155,0.12644155,0.11455844,0.9221299,0.46040264,11.155493,0.8212857,7.1418576,13.127857
2,6.6763783,0.89879274,0.11635366,1.1816828,3.4797316,2.8609881,0.18187805,0.38537803,0.099048786,2.6500487,17.649363,0.36929268,0.67419505,0.32840246,0.22229269,0.4387805,0.48014632,0.11387804,0.55539024,0.14532927,5.853122,0.27158538,0.05330488,0.30831707,0.06097561,0.24578048,0.51634145,6.601633,0.26275608,0.471,2.454634,0.07602439,0.06969512,1.4084878,0.9405488,28.76944,1.3035854,2.3724391,4.156317
3,5.50019,0.6936905,0.108095236,0.71395236,1.2266667,2.668619,0.04761905,0.20197618,0.04761905,0.7868571,13.404405,0.49778572,0.91083336,0.16835715,0.20064285,0.23357141,0.42859522,0.11654762,0.47442853,0.07009524,9.934357,0.20411904,0.0,0.37347618,0.07847619,0.023809524,0.43876195,1.611738,0.15485714,0.18940476,2.120524,0.04842857,0.08742857,0.85695237,0.39907146,21.614906,1.0329047,1.6305239,3.7406907
4,5.9947124,0.58942306,0.34119236,1.1127692,0.66023076,0.9371346,0.086615376,0.27515385,0.03846154,6.223981,4.370942,0.35113463,0.55394226,0.1140577,0.0646923,0.16098078,0.12188462,0.023519231,0.41930768,0.060903847,20.763601,0.22309615,0.01923077,0.18486539,0.0,0.06944231,0.7964039,1.513019,0.063307695,0.09711539,1.2714038,0.14365385,0.057692308,0.4658077,0.41680768,13.019441,0.62542313,1.1142884,2.5822308
5,4.3909297,0.44715276,0.12330556,8.072971,0.26836112,0.09111111,0.027777778,1.271486,0.057402775,0.17126389,4.3438606,0.21461111,0.35290277,0.10802778,0.30181944,0.39808333,0.20502777,0.10102777,0.5728195,0.070861116,36.87993,0.4621528,0.19345833,0.2732639,0.064208336,0.027777778,0.4766389,0.2059861,0.047930557,0.17515278,1.7903472,0.3056806,0.069625,0.40687498,0.0,0.066416666,0.70220834,1.9570558,3.7818477
6,13.156172,0.69952166,0.025586957,3.6978698,0.45223916,0.6871957,0.11693478,0.26356524,0.08695652,0.5097826,4.419674,0.16780435,0.6848696,0.15634784,0.18023914,0.0741087,0.5796522,0.103565216,0.4227174,0.02173913,12.458846,0.35050002,0.116130434,0.44599998,0.02173913,0.13043478,0.6356522,2.866239,0.033847827,0.33904347,1.6281521,0.07321739,0.07765217,0.38034782,0.04347826,8.914934,0.6341087,2.8252826,5.2047386
7,9.518772,1.2796819,0.100045465,2.103409,2.7357728,2.9118638,0.3055909,0.36186364,0.045454547,0.3829545,10.497591,0.2530909,2.23,0.24640909,0.0,0.30554545,0.10818183,0.103954546,0.34800002,0.0,7.0170903,0.31504548,0.0,0.7131818,0.0,0.0,0.6123636,2.3224545,0.14509091,0.3899091,2.372136,0.045454547,0.045454547,1.2243636,0.7538636,39.468636,1.1758182,4.0145907,9.658091
8,6.1921005,0.92615,0.19915,2.7112753,1.346075,2.4634502,0.1416,0.21935001,0.1,0.625875,4.6901245,0.21957497,1.806275,0.084249996,0.2674,0.12799999,0.127275,0.040275,0.28727502,0.109124996,7.4107246,0.255275,0.0,0.8057249,0.09635,0.19995001,0.6519,3.0278997,0.16475001,0.2936,2.3496246,0.343525,0.1,1.1766251,0.69562495,25.584803,1.0661,2.005525,3.9505248
9,9.996112,1.0420556,0.055555556,0.4645,1.638889,2.028389,0.266,0.43144447,0.14122222,10.2463875,10.782445,0.4186667,3.0837224,0.16666667,0.214,0.055555556,0.36727777,0.078666665,0.7174444,0.07561111,15.767946,0.6516111,0.0,0.7088889,0.14577778,0.055555556,0.5701667,4.8466115,0.19761111,0.6045,3.319056,0.055555556,0.055555556,2.0375001,0.7822222,35.506336,1.4147778,4.7174997,5.791222
10,18.747694,0.72354233,0.07567797,0.7791865,0.18557627,0.91381353,0.084745765,0.06779661,0.05149153,0.43544072,2.299644,0.16962713,0.22798306,0.033898305,0.15530509,0.11432203,0.016949153,0.033898305,0.31361017,0.05257627,7.0363564,0.31115252,0.07352543,0.6179492,0.0580678,0.08238983,0.37696612,4.0031185,0.17738983,0.33881354,1.5511866,0.07686441,0.06779661,0.52025425,0.08715255,5.755695,0.41027114,5.521169,10.222983
